"【改制後】縣市重要統計指標 依 指標, 期間 與 縣市"

" "," "," 新北市"," 臺北市"," 桃園市"," 臺中市"," 臺南市"," 高雄市"," 宜蘭縣"," 新竹縣"," 苗栗縣"," 彰化縣"," 南投縣"," 雲林縣"," 嘉義縣"," 屏東縣"," 臺東縣"," 花蓮縣"," 澎湖縣"," 基隆市"," 新竹市"," 嘉義市"," 金門縣"," 連江縣"
" 空氣中總懸浮微粒濃度"
" ","1998",94.57,99.47,85.69,97.63,115.32,142.37,64.92,105.76,79.34,110.53,83.49,95.44,119.31,85.52,31.65,...,69.71,84.20,102.61,112.52,...,...
" ","1999",89.03,113.58,90.43,99.56,105.80,121.00,74.24,99.32,82.75,122.70,87.98,114.78,110.38,100.75,51.61,86.61,84.69,89.64,103.20,90.42,...,...
" ","2000",80.99,84.63,90.55,105.53,102.44,143.23,51.59,70.83,76.47,114.41,84.68,120.69,100.98,88.54,54.40,70.55,69.73,77.66,100.46,113.01,...,...
" ","2001",77.57,84.12,115.06,91.72,101.46,155.25,64.70,75.58,72.07,96.84,69.91,80.30,96.16,109.09,75.29,82.13,70.14,94.12,88.55,121.49,...,...
" ","2002",77.94,83.40,96.00,90.75,93.44,140.54,66.25,63.26,75.60,94.45,69.83,116.30,93.44,94.01,57.62,61.15,66.90,114.80,67.17,113.39,...,...
" ","2003",91.37,75.43,88.93,94.82,84.63,137.29,66.06,73.31,69.81,97.93,60.50,112.42,83.03,90.93,65.36,68.23,53.67,94.05,72.90,106.88,...,...
" ","2004",95.70,77.57,95.33,98.84,101.85,146.52,60.05,79.52,69.51,109.94,68.31,127.33,97.45,87.77,47.24,64.02,62.04,89.81,63.60,110.46,...,...
" ","2005",83.98,72.22,102.62,103.24,92.03,133.44,63.31,94.41,65.21,105.08,78.19,103.78,103.69,75.28,51.42,60.86,48.22,85.00,71.42,99.86,...,...
" ","2006",68.48,62.81,101.72,84.06,103.52,132.34,56.76,64.38,55.31,96.29,60.24,92.10,84.89,86.38,56.80,73.01,61.40,80.48,67.75,82.53,...,...
" ","2007",65.37,63.18,82.93,73.70,84.27,122.33,54.34,70.87,74.57,84.17,69.25,100.15,82.95,73.59,35.42,61.28,60.68,93.96,83.30,90.73,...,...
" ","2008",66.36,68.04,75.88,90.93,93.76,113.51,48.72,76.52,62.43,76.32,66.02,103.39,80.29,47.48,45.24,51.29,61.98,92.35,59.04,81.25,...,...
" ","2009",67.55,67.86,65.54,66.04,95.06,110.26,49.33,89.16,53.88,89.03,72.96,110.44,81.02,72.58,58.72,57.46,56.83,67.77,61.36,87.63,...,...
" ","2010",70.88,58.83,55.24,61.05,77.22,95.11,54.53,83.80,54.45,107.67,57.64,93.30,72.57,74.04,64.07,50.34,58.88,76.58,57.54,68.33,...,...
" ","2011",57.15,58.88,60.11,80.49,90.81,93.26,49.97,63.53,59.21,73.79,66.89,84.80,83.24,76.48,63.85,49.26,50.91,60.20,41.92,83.95,...,...
" ","2012",53.05,55.08,50.65,88.89,79.70,78.38,45.70,57.94,44.68,60.11,62.41,65.93,70.80,72.42,...,40.75,60.42,54.58,38.62,74.77,...,...
" ","2013",57.13,49.04,57.40,78.52,76.67,79.80,41.69,53.29,48.47,56.68,62.83,84.92,60.72,88.66,...,39.61,48.53,60.04,63.78,74.57,...,...
" ","2014",55.24,39.83,59.14,57.92,71.65,76.79,41.77,55.88,49.65,53.55,57.49,63.49,53.52,84.13,29.70,47.39,59.68,46.07,66.37,67.90,58.95,...
" ","2015",46.77,38.37,54.88,51.29,64.55,63.22,46.32,58.87,48.34,64.61,60.12,61.30,44.57,65.72,39.43,32.82,43.76,45.27,63.47,65.95,43.38,...
