"【改制後】縣市重要統計指標 依 指標, 期間 與 縣市"

" "," "," 新北市"," 臺北市"," 桃園市"," 臺中市"," 臺南市"," 高雄市"," 宜蘭縣"," 新竹縣"," 苗栗縣"," 彰化縣"," 南投縣"," 雲林縣"," 嘉義縣"," 屏東縣"," 臺東縣"," 花蓮縣"," 澎湖縣"," 基隆市"," 新竹市"," 嘉義市"," 金門縣"," 連江縣"
" 犯罪人口率"
" ","1998",578.07,788.02,673.60,684.17,637.15,685.79,664.43,962.69,948.76,638.73,854.67,575.52,685.71,557.80,1160.38,966.31,961.07,1110.72,796.00,1216.27,511.06,-
" ","1999",578.89,969.54,678.52,717.73,725.26,806.82,763.57,1027.22,1012.45,765.06,925.76,562.05,784.48,653.24,1044.73,1036.66,949.15,1363.97,1002.50,1218.19,741.31,15.13
" ","2000",510.93,1037.30,694.76,592.16,694.42,812.65,894.01,946.10,1081.01,877.62,918.41,563.77,869.54,598.59,1016.81,1137.72,736.10,1149.65,814.08,1083.40,611.96,631.91
" ","2001",444.77,1076.84,767.94,600.11,726.72,689.36,826.87,754.84,1053.07,785.28,963.30,592.90,978.97,722.20,849.93,1114.65,1108.03,1069.81,908.14,1176.77,732.92,616.02
" ","2002",479.97,1028.57,666.79,757.76,665.84,885.26,913.86,745.51,858.39,762.46,961.68,678.97,866.62,784.01,1000.87,1057.43,1045.94,869.10,1038.17,1158.80,845.62,953.79
" ","2003",343.87,866.77,571.28,716.52,622.79,852.79,763.65,604.19,741.40,680.08,869.01,567.11,762.56,609.19,622.42,749.32,763.40,798.02,656.96,1230.51,810.57,295.98
" ","2004",373.97,937.33,596.28,827.36,584.39,937.47,855.47,643.26,866.13,918.65,949.01,629.00,688.54,721.30,706.93,979.30,868.19,1229.19,892.39,1285.71,959.83,407.38
" ","2005",482.97,1036.79,791.78,943.27,694.29,1126.49,1036.29,741.01,956.11,1168.81,982.54,732.87,727.35,718.60,790.29,1324.15,883.36,1313.16,1041.87,1320.93,733.37,568.41
" ","2006",759.88,1158.25,872.43,999.10,869.90,1141.53,935.56,802.80,1000.06,1132.03,1116.96,716.09,917.06,718.81,654.45,1318.22,881.30,1112.28,1077.35,1417.85,665.05,228.50
" ","2007",1115.41,1189.43,1094.76,1130.90,959.43,1294.65,1106.18,979.35,936.48,1184.61,1284.10,762.91,1021.73,874.54,703.13,1635.19,967.56,1254.50,1133.55,1547.01,579.61,111.49
" ","2008",1306.46,1190.89,1106.57,957.78,976.63,1263.37,1094.76,1112.01,1077.32,1200.02,1199.28,860.39,1036.29,1099.30,620.40,1722.13,877.77,1172.99,1137.49,1302.69,616.43,253.79
" ","2009",1358.98,1223.67,1055.20,737.21,899.37,1222.50,1020.02,1029.63,848.20,1084.94,1115.97,794.21,1043.37,1112.55,683.54,1718.35,994.10,1062.40,1154.04,1414.03,825.24,315.14
" ","2010",1348.03,1177.11,958.34,763.18,996.91,1335.52,1063.43,1094.45,870.75,1143.85,1098.63,871.40,1065.48,1359.34,538.03,1689.99,1432.21,1295.87,1221.14,1477.71,612.03,654.48
" ","2011",1310.17,1166.21,858.10,734.64,892.78,1320.31,1126.86,1090.57,913.29,1060.79,1051.94,886.94,1051.43,1178.34,651.90,1434.78,1134.61,1403.81,1316.26,1404.63,564.48,458.85
" ","2012",1288.58,1159.57,758.71,836.22,989.41,1273.55,1169.72,1143.01,1140.33,1044.68,1000.38,856.27,1056.86,1045.29,890.57,1398.75,950.00,1488.61,1307.50,1405.45,583.43,541.65
