"Year","COUNTYNAME","Sex","c0to4","c5to9","c10to14","c15to19","c20to24","c25to29","c30to34","c35to39","c40to44","c45to49","c50to54","c55to59","c60to64","c65to69","c70to74","c75to79","c80to84","c85","Total_pop"
1974,"新北市","Male",100918,101775,94026,84942,73286,54427,53178,44285,43460,46202,37204,25889,19201,11539,6408,2893,1099,415,801147
1974,"新北市","Female",95060,96398,89008,81717,79694,58441,50835,41214,32136,27889,22973,16654,13918,10259,6930,4023,1932,1108,730189
1974,"臺北市","Male",107337,117166,119959,110650,100497,76518,66943,56802,61978,73707,65648,41028,29878,15947,8449,3635,1289,520,1057951
1974,"臺北市","Female",100887,109697,112180,105050,108507,82113,69756,59841,47852,42082,34023,24168,19384,12937,8470,4811,2455,1440,945653
1974,"桃園市","Male",53776,56896,54562,46728,38802,25193,23494,21062,27913,34280,23062,14279,9534,5825,3606,1767,812,315,441906
1974,"桃園市","Female",50721,54109,51686,46027,42410,27482,25093,21560,17172,14860,11340,8661,7048,5439,3983,2554,1273,725,392143
1974,"臺中","Male",83654,87168,87201,80737,73881,48003,42006,38442,40256,43714,32277,21263,16019,9709,5576,2602,876,347,713731
1974,"臺中","Female",79455,82053,82868,77801,74190,46814,41187,36923,31576,27446,21281,16544,14026,10394,7033,3953,1637,846,656027
1974,"臺南","Male",76971,85135,97162,96302,85963,49266,41896,40460,42080,40113,31045,22454,19848,12594,7470,4021,1448,571,754799
1974,"臺南","Female",72207,80441,91305,90323,75597,43375,39729,39629,37948,31192,25547,19538,18596,12872,8062,5273,2456,1279,695369
1974,"高雄","Male",120301,123839,122056,110390,97473,66910,62172,54271,57234,62194,45750,28739,21545,11961,6267,2966,1124,399,995591
1974,"高雄","Female",112055,116511,115436,105576,99522,67459,59444,52165,42674,35670,28974,20363,17792,11668,7151,4364,1982,953,899759
1974,"宜蘭縣","Male",23974,26734,29008,27392,23199,13315,12945,12762,12301,12026,9555,7617,6786,3896,2062,772,322,126,224792
1974,"宜蘭縣","Female",22551,24872,27167,25714,21088,11283,11557,11172,10046,8399,6991,5507,4901,3930,2559,1247,600,313,199897
1974,"新竹","Male",35349,37774,40459,37766,33770,20588,18046,16399,17324,19722,16105,11150,8912,5728,3515,1827,732,316,325482
1974,"新竹","Female",33458,35534,38102,36287,32001,18459,16770,15811,14087,13109,10129,7568,6202,5004,3615,2168,1060,603,289967
1974,"苗栗縣","Male",30986,32632,36776,34988,30470,17897,15648,15156,14874,14335,10654,8327,6907,4832,3137,1708,742,287,280356
1974,"苗栗縣","Female",28495,31311,35243,33886,27583,14533,13398,13065,12799,11486,9377,7219,6201,5006,3558,2212,1037,624,257033
1974,"彰化縣","Male",64618,66676,71921,70656,63343,37385,33275,31904,30197,25846,19484,15480,13743,8971,5190,2447,871,341,562348
1974,"彰化縣","Female",61083,62998,68191,68040,57788,31981,28838,28982,27489,23320,18849,15186,13756,10645,6837,3812,1609,826,530230
1974,"南投縣","Male",28122,32172,35369,34321,30091,17486,15003,15166,14922,13518,10428,8138,6932,4587,2331,942,320,153,270001
