"Year","COUNTYNAME","Total_pop"
1998,"新北市",9457
1999,"新北市",8903
2000,"新北市",8099
2001,"新北市",7757
2002,"新北市",7794
2003,"新北市",9137
2004,"新北市",9570
2005,"新北市",8398
2006,"新北市",6848
2007,"新北市",6537
2008,"新北市",6636
2009,"新北市",6755
2010,"新北市",7088
2011,"新北市",5715
2012,"新北市",5305
2013,"新北市",5713
2014,"新北市",5524
2015,"新北市",4677
2016,"新北市",3974
2017,"新北市",4071
1998,"臺北市",9947
1999,"臺北市",11358
2000,"臺北市",8463
2001,"臺北市",8412
2002,"臺北市",8340
2003,"臺北市",7543
2004,"臺北市",7757
2005,"臺北市",7222
2006,"臺北市",6281
2007,"臺北市",6318
2008,"臺北市",6804
2009,"臺北市",6786
2010,"臺北市",5883
2011,"臺北市",5888
2012,"臺北市",5508
2013,"臺北市",4904
2014,"臺北市",3983
2015,"臺北市",3837
2016,"臺北市",3909
2017,"臺北市",3867
1998,"桃園市",8569
1999,"桃園市",9043
2000,"桃園市",9055
2001,"桃園市",11506
2002,"桃園市",9600
2003,"桃園市",8893
2004,"桃園市",9533
2005,"桃園市",10262
2006,"桃園市",10172
2007,"桃園市",8293
2008,"桃園市",7588
2009,"桃園市",6554
2010,"桃園市",5524
2011,"桃園市",6011
2012,"桃園市",5065
2013,"桃園市",5740
2014,"桃園市",5914
2015,"桃園市",5488
2016,"桃園市",5072
2017,"桃園市",5766
1998,"臺中",9763
1999,"臺中",9956
2000,"臺中",10553
2001,"臺中",9172
2002,"臺中",9075
2003,"臺中",9482
2004,"臺中",9884
2005,"臺中",10324
2006,"臺中",8406
2007,"臺中",7370
2008,"臺中",9093
2009,"臺中",6604
2010,"臺中",6105
2011,"臺中",8049
2012,"臺中",8889
2013,"臺中",7852
2014,"臺中",5792
2015,"臺中",5129
2016,"臺中",3832
2017,"臺中",4389
1998,"臺南",11532
1999,"臺南",10580
2000,"臺南",10244
2001,"臺南",10146
2002,"臺南",9344
2003,"臺南",8463
2004,"臺南",10185
2005,"臺南",9203
2006,"臺南",10352
2007,"臺南",8427
2008,"臺南",9376
2009,"臺南",9506
2010,"臺南",7722
2011,"臺南",9081
2012,"臺南",7970
2013,"臺南",7667
2014,"臺南",7165
2015,"臺南",6455
2016,"臺南",4912
2017,"臺南",4833
1998,"高雄",14237
1999,"高雄",12100
2000,"高雄",14323
2001,"高雄",15525
2002,"高雄",14054
2003,"高雄",13729
2004,"高雄",14652
2005,"高雄",13344
2006,"高雄",13234
2007,"高雄",12233
2008,"高雄",11351
2009,"高雄",11026
2010,"高雄",9511
2011,"高雄",9326
2012,"高雄",7838
2013,"高雄",7980
2014,"高雄",7679
2015,"高雄",6322
2016,"高雄",5777
2017,"高雄",6438
1998,"宜蘭縣",6492
1999,"宜蘭縣",7424
2000,"宜蘭縣",5159
2001,"宜蘭縣",6470
2002,"宜蘭縣",6625
2003,"宜蘭縣",6606
2004,"宜蘭縣",6005
2005,"宜蘭縣",6331
2006,"宜蘭縣",5676
2007,"宜蘭縣",5434
2008,"宜蘭縣",4872
2009,"宜蘭縣",4933
2010,"宜蘭縣",5453
2011,"宜蘭縣",4997
2012,"宜蘭縣",4570
2013,"宜蘭縣",4169
2014,"宜蘭縣",4177
2015,"宜蘭縣",4632
2016,"宜蘭縣",3501
2017,"宜蘭縣",3649
1998,"新竹",10576
1999,"新竹",9932
2000,"新竹",7083
2001,"新竹",7558
2002,"新竹",6326
2003,"新竹",7331
2004,"新竹",7952
2005,"新竹",9441
2006,"新竹",6438
2007,"新竹",7087
2008,"新竹",7652
2009,"新竹",8916
2010,"新竹",8380
2011,"新竹",6353
2012,"新竹",5794
2013,"新竹",5329
2014,"新竹",5588
2015,"新竹",5887
2016,"新竹",5192
2017,"新竹",4780
1998,"苗栗縣",7934
1999,"苗栗縣",8275
2000,"苗栗縣",7647
2001,"苗栗縣",7207
2002,"苗栗縣",7560
2003,"苗栗縣",6981
2004,"苗栗縣",6951
2005,"苗栗縣",6521
2006,"苗栗縣",5531
2007,"苗栗縣",7457
2008,"苗栗縣",6243
2009,"苗栗縣",5388
2010,"苗栗縣",5445
2011,"苗栗縣",5921
2012,"苗栗縣",4468
2013,"苗栗縣",4847
2014,"苗栗縣",4965
2015,"苗栗縣",4834
2016,"苗栗縣",4884
2017,"苗栗縣",4190
1998,"彰化縣",11053
1999,"彰化縣",12270
2000,"彰化縣",11441
2001,"彰化縣",9684
2002,"彰化縣",9445
2003,"彰化縣",9793
2004,"彰化縣",10994
2005,"彰化縣",10508
2006,"彰化縣",9629
2007,"彰化縣",8417
2008,"彰化縣",7632
2009,"彰化縣",8903
2010,"彰化縣",10767
2011,"彰化縣",7379
2012,"彰化縣",6011
2013,"彰化縣",5668
2014,"彰化縣",5355
2015,"彰化縣",6461
2016,"彰化縣",5222
2017,"彰化縣",5422
1998,"南投縣",8349
1999,"南投縣",8798
2000,"南投縣",8468
2001,"南投縣",6991
2002,"南投縣",6983
2003,"南投縣",6050
2004,"南投縣",6831
2005,"南投縣",7819
2006,"南投縣",6024
2007,"南投縣",6925
2008,"南投縣",6602
2009,"南投縣",7296
2010,"南投縣",5764
2011,"南投縣",6689
2012,"南投縣",6241
2013,"南投縣",6283
2014,"南投縣",5749
2015,"南投縣",6012
2016,"南投縣",5334
2017,"南投縣",4882
1998,"雲林縣",9544
1999,"雲林縣",11478
2000,"雲林縣",12069
2001,"雲林縣",8030
2002,"雲林縣",11630
2003,"雲林縣",11242
2004,"雲林縣",12733
2005,"雲林縣",10378
2006,"雲林縣",9210
2007,"雲林縣",10015
2008,"雲林縣",10339
2009,"雲林縣",11044
2010,"雲林縣",9330
2011,"雲林縣",8480
2012,"雲林縣",6593
2013,"雲林縣",8492
2014,"雲林縣",6349
2015,"雲林縣",6130
2016,"雲林縣",4962
2017,"雲林縣",6115
1998,"嘉義",11931
1999,"嘉義",11038
2000,"嘉義",10098
2001,"嘉義",9616
2002,"嘉義",9344
2003,"嘉義",8303
2004,"嘉義",9745
2005,"嘉義",10369
2006,"嘉義",8489
2007,"嘉義",8295
2008,"嘉義",8029
2009,"嘉義",8102
2010,"嘉義",7257
2011,"嘉義",8324
2012,"嘉義",7080
2013,"嘉義",6072
2014,"嘉義",5352
2015,"嘉義",4457
2016,"嘉義",4143
2017,"嘉義",5830
1998,"屏東縣",8552
1999,"屏東縣",10075
2000,"屏東縣",8854
2001,"屏東縣",10909
2002,"屏東縣",9401
2003,"屏東縣",9093
2004,"屏東縣",8777
2005,"屏東縣",7528
2006,"屏東縣",8638
2007,"屏東縣",7359
2008,"屏東縣",4748
2009,"屏東縣",7258
2010,"屏東縣",7404
2011,"屏東縣",7648
2012,"屏東縣",7242
2013,"屏東縣",8866
2014,"屏東縣",8413
2015,"屏東縣",6572
2016,"屏東縣",5316
2017,"屏東縣",NA
1998,"臺東縣",3165
1999,"臺東縣",5161
2000,"臺東縣",5440
2001,"臺東縣",7529
2002,"臺東縣",5762
2003,"臺東縣",6536
2004,"臺東縣",4724
2005,"臺東縣",5142
2006,"臺東縣",5680
2007,"臺東縣",3542
2008,"臺東縣",4524
2009,"臺東縣",5872
2010,"臺東縣",6407
2011,"臺東縣",6385
2012,"臺東縣",NA
2013,"臺東縣",NA
2014,"臺東縣",2970
2015,"臺東縣",3943
2016,"臺東縣",3310
2017,"臺東縣",3396
1998,"花蓮縣",NA
1999,"花蓮縣",8661
2000,"花蓮縣",7055
2001,"花蓮縣",8213
2002,"花蓮縣",6115
2003,"花蓮縣",6823
2004,"花蓮縣",6402
2005,"花蓮縣",6086
2006,"花蓮縣",7301
2007,"花蓮縣",6128
2008,"花蓮縣",5129
2009,"花蓮縣",5746
2010,"花蓮縣",5034
2011,"花蓮縣",4926
2012,"花蓮縣",4075
2013,"花蓮縣",3961
2014,"花蓮縣",4739
2015,"花蓮縣",3282
2016,"花蓮縣",3255
2017,"花蓮縣",3232
1998,"澎湖縣",6971
1999,"澎湖縣",8469
2000,"澎湖縣",6973
2001,"澎湖縣",7014
2002,"澎湖縣",6690
2003,"澎湖縣",5367
2004,"澎湖縣",6204
2005,"澎湖縣",4822
2006,"澎湖縣",6140
2007,"澎湖縣",6068
2008,"澎湖縣",6198
2009,"澎湖縣",5683
2010,"澎湖縣",5888
2011,"澎湖縣",5091
2012,"澎湖縣",6042
2013,"澎湖縣",4853
2014,"澎湖縣",5968
2015,"澎湖縣",4376
2016,"澎湖縣",6573
2017,"澎湖縣",4902
1998,"基隆市",8420
1999,"基隆市",8964
2000,"基隆市",7766
2001,"基隆市",9412
2002,"基隆市",11480
2003,"基隆市",9405
2004,"基隆市",8981
2005,"基隆市",8500
2006,"基隆市",8048
2007,"基隆市",9396
2008,"基隆市",9235
2009,"基隆市",6777
2010,"基隆市",7658
2011,"基隆市",6020
2012,"基隆市",5458
2013,"基隆市",6004
2014,"基隆市",4607
2015,"基隆市",4527
2016,"基隆市",4232
2017,"基隆市",5174
1998,"新竹",10261
1999,"新竹",10320
2000,"新竹",10046
2001,"新竹",8855
2002,"新竹",6717
2003,"新竹",7290
2004,"新竹",6360
2005,"新竹",7142
2006,"新竹",6775
2007,"新竹",8330
2008,"新竹",5904
2009,"新竹",6136
2010,"新竹",5754
2011,"新竹",4192
2012,"新竹",3862
2013,"新竹",6378
2014,"新竹",6637
2015,"新竹",6347
2016,"新竹",5174
2017,"新竹",1985
1998,"嘉義",11252
1999,"嘉義",9042
2000,"嘉義",11301
2001,"嘉義",12149
2002,"嘉義",11339
2003,"嘉義",10688
2004,"嘉義",11046
2005,"嘉義",9986
2006,"嘉義",8253
2007,"嘉義",9073
