"Year","COUNTYNAME","Total_pop"
1998,"新北市",57807
1999,"新北市",57889
2000,"新北市",51093
2001,"新北市",44477
2002,"新北市",47997
2003,"新北市",34387
2004,"新北市",37397
2005,"新北市",48297
2006,"新北市",75988
2007,"新北市",111541
2008,"新北市",130646
2009,"新北市",135898
2010,"新北市",134803
2011,"新北市",131017
2012,"新北市",128858
2013,"新北市",99341
2014,"新北市",82421
2015,"新北市",82210
2016,"新北市",81717
2017,"新北市",94799
1998,"臺北市",78802
1999,"臺北市",96954
2000,"臺北市",103730
2001,"臺北市",107684
2002,"臺北市",102857
2003,"臺北市",86677
2004,"臺北市",93733
2005,"臺北市",103679
2006,"臺北市",115825
2007,"臺北市",118943
2008,"臺北市",119089
2009,"臺北市",122367
2010,"臺北市",117711
2011,"臺北市",116621
2012,"臺北市",115957
2013,"臺北市",129961
2014,"臺北市",134011
2015,"臺北市",147772
2016,"臺北市",153530
2017,"臺北市",152371
1998,"桃園市",67360
1999,"桃園市",67852
2000,"桃園市",69476
2001,"桃園市",76794
2002,"桃園市",66679
2003,"桃園市",57128
2004,"桃園市",59628
2005,"桃園市",79178
2006,"桃園市",87243
2007,"桃園市",109476
2008,"桃園市",110657
2009,"桃園市",105520
2010,"桃園市",95834
2011,"桃園市",85810
2012,"桃園市",75871
2013,"桃園市",76712
2014,"桃園市",75874
2015,"桃園市",80819
2016,"桃園市",78706
2017,"桃園市",84538
1998,"臺中",68417
1999,"臺中",71773
2000,"臺中",59216
2001,"臺中",60011
2002,"臺中",75776
2003,"臺中",71652
2004,"臺中",82736
2005,"臺中",94327
2006,"臺中",99910
2007,"臺中",113090
2008,"臺中",95778
2009,"臺中",73721
2010,"臺中",76318
2011,"臺中",73464
2012,"臺中",83622
2013,"臺中",82758
2014,"臺中",86153
2015,"臺中",92353
2016,"臺中",96032
2017,"臺中",96476
1998,"臺南",63715
1999,"臺南",72526
2000,"臺南",69442
2001,"臺南",72672
2002,"臺南",66584
2003,"臺南",62279
2004,"臺南",58439
2005,"臺南",69429
2006,"臺南",86990
2007,"臺南",95943
2008,"臺南",97663
2009,"臺南",89937
2010,"臺南",99691
2011,"臺南",89278
2012,"臺南",98941
2013,"臺南",105816
2014,"臺南",111395
2015,"臺南",120467
2016,"臺南",117474
2017,"臺南",131985
1998,"高雄",68579
1999,"高雄",80682
2000,"高雄",81265
2001,"高雄",68936
2002,"高雄",88526
2003,"高雄",85279
2004,"高雄",93747
2005,"高雄",112649
2006,"高雄",114153
2007,"高雄",129465
2008,"高雄",126337
2009,"高雄",122250
2010,"高雄",133552
2011,"高雄",132031
2012,"高雄",127355
2013,"高雄",111400
2014,"高雄",118567
2015,"高雄",107217
2016,"高雄",103359
2017,"高雄",113353
1998,"宜蘭縣",66443
1999,"宜蘭縣",76357
2000,"宜蘭縣",89401
2001,"宜蘭縣",82687
2002,"宜蘭縣",91386
2003,"宜蘭縣",76365
2004,"宜蘭縣",85547
2005,"宜蘭縣",103629
2006,"宜蘭縣",93556
2007,"宜蘭縣",110618
