"Year","COUNTYNAME","Total_pop"
1998,"新北市",7582.26666666667
1999,"新北市",7999.03333333333
2000,"新北市",8382.1
2001,"新北市",8162
2002,"新北市",8151.93333333333
2003,"新北市",8547.36666666667
2004,"新北市",8620.23333333333
2005,"新北市",8871.9
2006,"新北市",9452.53333333333
2007,"新北市",8744.9
2008,"新北市",9502.06666666667
2009,"新北市",8838.03333333333
2010,"新北市",9111.7
2011,"新北市",9307.96666666667
2012,"新北市",9267.43333333333
2013,"新北市",9492.76666666667
2014,"新北市",9719.7
2015,"新北市",10185.8333333333
2016,"新北市",10871.7333333333
2017,"新北市",11253.5
1998,"臺北市",11044.7
1999,"臺北市",11221.7
2000,"臺北市",11273
2001,"臺北市",11308.5666666667
2002,"臺北市",11907.1333333333
2003,"臺北市",12189.8666666667
2004,"臺北市",12682.1666666667
2005,"臺北市",13079.5
2006,"臺北市",12598.8666666667
2007,"臺北市",12968.8
2008,"臺北市",12878
2009,"臺北市",12901.7666666667
2010,"臺北市",13401.8666666667
2011,"臺北市",12718.7
2012,"臺北市",13273.9
2013,"臺北市",13622.9333333333
2014,"臺北市",13765.7666666667
2015,"臺北市",14221.1
2016,"臺北市",14675.9333333333
2017,"臺北市",14551.2666666667
1998,"桃園市",7958.43333333333
1999,"桃園市",8349.26666666667
2000,"桃園市",8465.86666666667
2001,"桃園市",8014.76666666667
2002,"桃園市",8375.9
2003,"桃園市",8287.93333333333
2004,"桃園市",8667.96666666667
2005,"桃園市",8807.3
2006,"桃園市",8840.3
2007,"桃園市",9425.23333333333
2008,"桃園市",9065.5
2009,"桃園市",8961.36666666667
2010,"桃園市",9082.33333333333
2011,"桃園市",9109.83333333333
2012,"桃園市",9590.9
2013,"桃園市",9622.26666666667
2014,"桃園市",10490.0333333333
2015,"桃園市",10374.9333333333
2016,"桃園市",10849.0333333333
2017,"桃園市",10904.4333333333
1998,"臺中",7698.63333333333
1999,"臺中",8364.33333333333
2000,"臺中",7644.3
2001,"臺中",7807.3
2002,"臺中",7440.7
2003,"臺中",7930.63333333333
2004,"臺中",7472.86666666667
2005,"臺中",7745.46666666667
2006,"臺中",8211.23333333333
2007,"臺中",8714.2
2008,"臺中",8162.66666666667
2009,"臺中",7940.26666666667
2010,"臺中",8053.26666666667
2011,"臺中",8843.86666666667
2012,"臺中",9038.56666666667
2013,"臺中",9411.73333333333
2014,"臺中",10112.1666666667
2015,"臺中",10398.2666666667
2016,"臺中",10760.2
2017,"臺中",11254.5666666667
1998,"臺南",6706.26666666667
1999,"臺南",7219.23333333333
2000,"臺南",7129.06666666667
2001,"臺南",6893.3
2002,"臺南",6911.5
2003,"臺南",7624.76666666667
2004,"臺南",7398.1
2005,"臺南",7606.8
2006,"臺南",7757.4
2007,"臺南",8167
