"Year","COUNTYNAME","Total_pop"
1998,"新北市",109
1999,"新北市",108
2000,"新北市",105
2001,"新北市",94
2002,"新北市",100
2003,"新北市",83
2004,"新北市",79
2005,"新北市",76
2006,"新北市",64
2007,"新北市",63
2008,"新北市",58
2009,"新北市",51
2010,"新北市",45
2011,"新北市",28
2012,"新北市",31
2013,"新北市",28
2014,"新北市",27
2015,"新北市",24
2016,"新北市",24
2017,"新北市",30
1998,"臺北市",142
1999,"臺北市",128
2000,"臺北市",101
2001,"臺北市",103
2002,"臺北市",77
2003,"臺北市",69
2004,"臺北市",62
2005,"臺北市",58
2006,"臺北市",55
2007,"臺北市",55
2008,"臺北市",42
2009,"臺北市",41
2010,"臺北市",41
2011,"臺北市",39
2012,"臺北市",27
2013,"臺北市",27
2014,"臺北市",28
2015,"臺北市",29
2016,"臺北市",25
2017,"臺北市",21
1998,"桃園市",108
1999,"桃園市",106
2000,"桃園市",102
2001,"桃園市",97
2002,"桃園市",86
2003,"桃園市",77
2004,"桃園市",73
2005,"桃園市",67
2006,"桃園市",58
2007,"桃園市",55
2008,"桃園市",50
2009,"桃園市",48
2010,"桃園市",46
2011,"桃園市",40
2012,"桃園市",40
2013,"桃園市",44
2014,"桃園市",47
2015,"桃園市",49
2016,"桃園市",50
2017,"桃園市",48
1998,"臺中",106
1999,"臺中",94
2000,"臺中",76
2001,"臺中",70
2002,"臺中",62
2003,"臺中",58
2004,"臺中",56
2005,"臺中",50
2006,"臺中",47
2007,"臺中",48
2008,"臺中",43
2009,"臺中",43
2010,"臺中",43
2011,"臺中",41
2012,"臺中",40
2013,"臺中",38
2014,"臺中",39
2015,"臺中",39
2016,"臺中",36
2017,"臺中",35
1998,"臺南",114
1999,"臺南",111
2000,"臺南",98
2001,"臺南",89
2002,"臺南",87
2003,"臺南",82
2004,"臺南",78
2005,"臺南",78
2006,"臺南",70
2007,"臺南",61
2008,"臺南",54
2009,"臺南",52
2010,"臺南",50
2011,"臺南",45
2012,"臺南",39
2013,"臺南",38
2014,"臺南",37
2015,"臺南",37
2016,"臺南",35
2017,"臺南",36
