"Year","COUNTYNAME","Total_pop"
1998,"新北市",2405
1999,"新北市",2441
2000,"新北市",2515
2001,"新北市",2562
2002,"新北市",2560
2003,"新北市",2637
2004,"新北市",2702
2005,"新北市",2716
2006,"新北市",2750
2007,"新北市",2788
2008,"新北市",2816
2009,"新北市",2868
2010,"新北市",2912
2011,"新北市",3011
2012,"新北市",3076
2013,"新北市",3126
2014,"新北市",3200
2015,"新北市",3232
2016,"新北市",3259
2017,"新北市",3287
1998,"臺北市",2610
1999,"臺北市",2620
2000,"臺北市",2615
2001,"臺北市",2633
2002,"臺北市",2645
2003,"臺北市",2748
2004,"臺北市",2814
2005,"臺北市",2835
2006,"臺北市",2892
2007,"臺北市",2946
2008,"臺北市",3010
2009,"臺北市",3045
2010,"臺北市",3147
2011,"臺北市",3253
2012,"臺北市",3321
2013,"臺北市",3381
2014,"臺北市",3450
2015,"臺北市",3489
2016,"臺北市",3526
2017,"臺北市",3578
1998,"桃園市",1146
1999,"桃園市",1133
2000,"桃園市",1194
2001,"桃園市",1227
2002,"桃園市",1245
2003,"桃園市",1276
2004,"桃園市",1341
2005,"桃園市",1322
2006,"桃園市",1314
2007,"桃園市",1337
2008,"桃園市",1358
2009,"桃園市",1398
2010,"桃園市",1429
2011,"桃園市",1448
2012,"桃園市",1467
2013,"桃園市",1500
2014,"桃園市",1523
2015,"桃園市",1531
2016,"桃園市",1563
2017,"桃園市",1580
1998,"臺中",2671
1999,"臺中",2681
2000,"臺中",2730
2001,"臺中",2771
2002,"臺中",2780
2003,"臺中",2871
2004,"臺中",2927
2005,"臺中",2988
2006,"臺中",3005
2007,"臺中",3038
2008,"臺中",3089
2009,"臺中",3078
2010,"臺中",3150
2011,"臺中",3213
2012,"臺中",3264
2013,"臺中",3294
2014,"臺中",3342
2015,"臺中",3364
2016,"臺中",3424
2017,"臺中",3473
1998,"臺南",1545
1999,"臺南",1541
2000,"臺南",1534
2001,"臺南",1537
2002,"臺南",1537
2003,"臺南",1581
2004,"臺南",1618
2005,"臺南",1629
2006,"臺南",1674
2007,"臺南",1697
2008,"臺南",1720
2009,"臺南",1733
2010,"臺南",1772
2011,"臺南",1815
2012,"臺南",1834
2013,"臺南",1851
2014,"臺南",1875
2015,"臺南",1890
2016,"臺南",1904
2017,"臺南",1923
1998,"高雄",2328
1999,"高雄",2329
2000,"高雄",2396
2001,"高雄",2412
2002,"高雄",2413
2003,"高雄",2475
2004,"高雄",2545
2005,"高雄",2592
2006,"高雄",2617
2007,"高雄",2629
2008,"高雄",2663
2009,"高雄",2679
2010,"高雄",2754
2011,"高雄",2805
2012,"高雄",2837
2013,"高雄",2869
2014,"高雄",2906
2015,"高雄",2943
2016,"高雄",2954
2017,"高雄",3008
1998,"宜蘭縣",293
1999,"宜蘭縣",296
2000,"宜蘭縣",311
2001,"宜蘭縣",301
2002,"宜蘭縣",297
2003,"宜蘭縣",303
2004,"宜蘭縣",302
2005,"宜蘭縣",303
2006,"宜蘭縣",314
2007,"宜蘭縣",318
2008,"宜蘭縣",314
2009,"宜蘭縣",318
2010,"宜蘭縣",322
2011,"宜蘭縣",327
2012,"宜蘭縣",333
2013,"宜蘭縣",338
2014,"宜蘭縣",337
2015,"宜蘭縣",330
2016,"宜蘭縣",333
2017,"宜蘭縣",347
1998,"新竹",252
1999,"新竹",248
2000,"新竹",256
2001,"新竹",259
2002,"新竹",262
2003,"新竹",268
2004,"新竹",286
2005,"新竹",303
2006,"新竹",310
2007,"新竹",317
2008,"新竹",324
2009,"新竹",327
2010,"新竹",323
2011,"新竹",335
2012,"新竹",336
2013,"新竹",349
2014,"新竹",360
2015,"新竹",374
2016,"新竹",384
2017,"新竹",382
1998,"苗栗縣",364
1999,"苗栗縣",346
2000,"苗栗縣",350
2001,"苗栗縣",341
2002,"苗栗縣",337
2003,"苗栗縣",338
2004,"苗栗縣",349
2005,"苗栗縣",361
2006,"苗栗縣",357
2007,"苗栗縣",363
2008,"苗栗縣",370
2009,"苗栗縣",368
2010,"苗栗縣",370
2011,"苗栗縣",376
2012,"苗栗縣",385
2013,"苗栗縣",385
2014,"苗栗縣",391
2015,"苗栗縣",388
2016,"苗栗縣",386
2017,"苗栗縣",382
1998,"彰化縣",899
1999,"彰化縣",896
2000,"彰化縣",912
2001,"彰化縣",919
2002,"彰化縣",905
2003,"彰化縣",950
2004,"彰化縣",975
2005,"彰化縣",988
2006,"彰化縣",1006
2007,"彰化縣",1013
2008,"彰化縣",1028
2009,"彰化縣",1019
2010,"彰化縣",1026
2011,"彰化縣",1041
2012,"彰化縣",1042
2013,"彰化縣",1059
2014,"彰化縣",1062
2015,"彰化縣",1054
2016,"彰化縣",1059
2017,"彰化縣",1055
1998,"南投縣",419
1999,"南投縣",391
2000,"南投縣",378
2001,"南投縣",386
2002,"南投縣",389
2003,"南投縣",404
2004,"南投縣",411
2005,"南投縣",412
2006,"南投縣",408
2007,"南投縣",417
2008,"南投縣",422
2009,"南投縣",418
2010,"南投縣",416
2011,"南投縣",424
2012,"南投縣",429
2013,"南投縣",429
2014,"南投縣",434
2015,"南投縣",433
2016,"南投縣",433
2017,"南投縣",434
1998,"雲林縣",473
1999,"雲林縣",466
2000,"雲林縣",467
2001,"雲林縣",476
2002,"雲林縣",480
2003,"雲林縣",496
2004,"雲林縣",507
2005,"雲林縣",505
2006,"雲林縣",515
2007,"雲林縣",514
2008,"雲林縣",517
2009,"雲林縣",508
2010,"雲林縣",504
2011,"雲林縣",498
2012,"雲林縣",498
2013,"雲林縣",503
2014,"雲林縣",508
2015,"雲林縣",504
2016,"雲林縣",504
2017,"雲林縣",495
1998,"嘉義",228
1999,"嘉義",229
2000,"嘉義",246
2001,"嘉義",241
2002,"嘉義",236
2003,"嘉義",249
2004,"嘉義",251
2005,"嘉義",254
2006,"嘉義",262
2007,"嘉義",269
2008,"嘉義",265
2009,"嘉義",266
2010,"嘉義",267
2011,"嘉義",267
2012,"嘉義",269
2013,"嘉義",270
2014,"嘉義",271
2015,"嘉義",271
2016,"嘉義",274
2017,"嘉義",273
1998,"屏東縣",584
1999,"屏東縣",610
2000,"屏東縣",621
2001,"屏東縣",634
2002,"屏東縣",604
2003,"屏東縣",614
2004,"屏東縣",624
2005,"屏東縣",630
2006,"屏東縣",648
2007,"屏東縣",652
2008,"屏東縣",654
2009,"屏東縣",650
2010,"屏東縣",652
2011,"屏東縣",651
2012,"屏東縣",648
2013,"屏東縣",647
2014,"屏東縣",655
2015,"屏東縣",644
2016,"屏東縣",648
2017,"屏東縣",645
1998,"臺東縣",141
1999,"臺東縣",139
2000,"臺東縣",145
2001,"臺東縣",149
2002,"臺東縣",150
2003,"臺東縣",152
2004,"臺東縣",156
2005,"臺東縣",153
2006,"臺東縣",157
2007,"臺東縣",157
2008,"臺東縣",159
2009,"臺東縣",152
2010,"臺東縣",153
2011,"臺東縣",158
2012,"臺東縣",159
2013,"臺東縣",162
2014,"臺東縣",161
2015,"臺東縣",161
2016,"臺東縣",165
2017,"臺東縣",167
1998,"花蓮縣",274
1999,"花蓮縣",283
2000,"花蓮縣",288
2001,"花蓮縣",270
2002,"花蓮縣",258
2003,"花蓮縣",266
2004,"花蓮縣",274
2005,"花蓮縣",276
2006,"花蓮縣",279
2007,"花蓮縣",279
2008,"花蓮縣",283
2009,"花蓮縣",278
2010,"花蓮縣",275
2011,"花蓮縣",275
2012,"花蓮縣",282
2013,"花蓮縣",274
2014,"花蓮縣",278
2015,"花蓮縣",277
2016,"花蓮縣",280
2017,"花蓮縣",286
1998,"澎湖縣",68
1999,"澎湖縣",70
2000,"澎湖縣",70
2001,"澎湖縣",73
2002,"澎湖縣",76
2003,"澎湖縣",80
2004,"澎湖縣",84
2005,"澎湖縣",83
2006,"澎湖縣",85
