"Year","COUNTYNAME","Total_pop"
1998,"新北市",27231
1999,"新北市",28604
2000,"新北市",51464
2001,"新北市",56981
2002,"新北市",50427
2003,"新北市",46629
2004,"新北市",51673
2005,"新北市",52334
2006,"新北市",46302
2007,"新北市",43984
2008,"新北市",41472
2009,"新北市",44864
2010,"新北市",42806
2011,"新北市",45657
2012,"新北市",NA
2013,"新北市",NA
2014,"新北市",NA
2015,"新北市",NA
2016,"新北市",NA
2017,"新北市",NA
1998,"臺北市",26748
1999,"臺北市",29797
2000,"臺北市",34561
2001,"臺北市",34230
2002,"臺北市",35820
2003,"臺北市",35047
2004,"臺北市",19052
2005,"臺北市",16995
2006,"臺北市",17841
2007,"臺北市",19203
2008,"臺北市",18446
2009,"臺北市",17924
2010,"臺北市",18320
2011,"臺北市",19490
2012,"臺北市",NA
2013,"臺北市",NA
2014,"臺北市",NA
2015,"臺北市",NA
2016,"臺北市",NA
2017,"臺北市",NA
1998,"桃園市",13566
1999,"桃園市",13102
2000,"桃園市",17125
2001,"桃園市",19488
2002,"桃園市",22165
2003,"桃園市",21719
2004,"桃園市",21136
2005,"桃園市",19118
2006,"桃園市",19843
2007,"桃園市",16249
2008,"桃園市",16235
2009,"桃園市",19185
2010,"桃園市",19732
2011,"桃園市",19800
2012,"桃園市",NA
2013,"桃園市",NA
2014,"桃園市",NA
2015,"桃園市",NA
2016,"桃園市",NA
2017,"桃園市",NA
1998,"臺中",32750
1999,"臺中",36030
2000,"臺中",38709
2001,"臺中",39284
2002,"臺中",49402
2003,"臺中",39683
2004,"臺中",42037
2005,"臺中",41769
2006,"臺中",40138
2007,"臺中",37486
2008,"臺中",33409
2009,"臺中",31835
2010,"臺中",31718
2011,"臺中",36203
2012,"臺中",NA
2013,"臺中",NA
2014,"臺中",NA
2015,"臺中",NA
2016,"臺中",NA
2017,"臺中",NA
1998,"臺南",21974
1999,"臺南",22703
2000,"臺南",23399
2001,"臺南",23184
2002,"臺南",23006
2003,"臺南",23391
2004,"臺南",23172
2005,"臺南",23639
2006,"臺南",21293
2007,"臺南",19057
2008,"臺南",17075
2009,"臺南",16562
2010,"臺南",17121
2011,"臺南",19106
2012,"臺南",NA
2013,"臺南",NA
2014,"臺南",NA
2015,"臺南",NA
2016,"臺南",NA
2017,"臺南",NA
1998,"高雄",26926
1999,"高雄",27553
2000,"高雄",29890
2001,"高雄",31594
2002,"高雄",32641
2003,"高雄",29486
2004,"高雄",28999
2005,"高雄",26715
2006,"高雄",23492
2007,"高雄",22316
2008,"高雄",21013
2009,"高雄",19620
2010,"高雄",19958
2011,"高雄",19355
2012,"高雄",NA
2013,"高雄",NA
2014,"高雄",NA
2015,"高雄",NA
2016,"高雄",NA
2017,"高雄",NA
1998,"宜蘭縣",11002
1999,"宜蘭縣",11090
2000,"宜蘭縣",12159
2001,"宜蘭縣",12544
2002,"宜蘭縣",11509
2003,"宜蘭縣",9840
2004,"宜蘭縣",9702
2005,"宜蘭縣",9351
2006,"宜蘭縣",7901
2007,"宜蘭縣",7311
2008,"宜蘭縣",7159
2009,"宜蘭縣",7136
2010,"宜蘭縣",6953
2011,"宜蘭縣",6312
2012,"宜蘭縣",NA
2013,"宜蘭縣",NA
2014,"宜蘭縣",NA
2015,"宜蘭縣",NA
2016,"宜蘭縣",NA
2017,"宜蘭縣",NA
1998,"新竹",4660
1999,"新竹",4961
2000,"新竹",5198
2001,"新竹",5161
2002,"新竹",5260
2003,"新竹",5349
2004,"新竹",5881
2005,"新竹",6229
2006,"新竹",6493
2007,"新竹",6461
2008,"新竹",6357
2009,"新竹",6113
2010,"新竹",6529
2011,"新竹",7329
2012,"新竹",NA
2013,"新竹",NA
2014,"新竹",NA
2015,"新竹",NA
2016,"新竹",NA
2017,"新竹",NA
1998,"苗栗縣",5471
1999,"苗栗縣",5650
2000,"苗栗縣",6071
2001,"苗栗縣",6089
2002,"苗栗縣",6311
2003,"苗栗縣",5503
2004,"苗栗縣",5553
2005,"苗栗縣",6337
2006,"苗栗縣",6282
2007,"苗栗縣",5290
2008,"苗栗縣",6009
2009,"苗栗縣",5385
2010,"苗栗縣",5462
2011,"苗栗縣",5446
2012,"苗栗縣",NA
2013,"苗栗縣",NA
2014,"苗栗縣",NA
2015,"苗栗縣",NA
2016,"苗栗縣",NA
2017,"苗栗縣",NA
1998,"彰化縣",17507
1999,"彰化縣",19213
2000,"彰化縣",20810
2001,"彰化縣",21172
2002,"彰化縣",21620
2003,"彰化縣",21804
2004,"彰化縣",23126
2005,"彰化縣",23211
2006,"彰化縣",19752
2007,"彰化縣",22581
2008,"彰化縣",19959
2009,"彰化縣",21235
2010,"彰化縣",17341
2011,"彰化縣",17201
2012,"彰化縣",NA
2013,"彰化縣",NA
2014,"彰化縣",NA
2015,"彰化縣",NA
2016,"彰化縣",NA
2017,"彰化縣",NA
1998,"南投縣",9820
1999,"南投縣",9600
2000,"南投縣",10031
2001,"南投縣",11797
2002,"南投縣",10088
2003,"南投縣",10479
2004,"南投縣",9511
2005,"南投縣",9524
2006,"南投縣",8896
2007,"南投縣",8321
2008,"南投縣",7990
2009,"南投縣",7745
2010,"南投縣",7490
2011,"南投縣",7432
2012,"南投縣",NA
2013,"南投縣",NA
2014,"南投縣",NA
2015,"南投縣",NA
2016,"南投縣",NA
2017,"南投縣",NA
1998,"雲林縣",10574
1999,"雲林縣",10245
2000,"雲林縣",10825
2001,"雲林縣",8914
2002,"雲林縣",8829
2003,"雲林縣",8196
2004,"雲林縣",8033
2005,"雲林縣",7204
2006,"雲林縣",7242
2007,"雲林縣",7291
2008,"雲林縣",7065
2009,"雲林縣",6781
2010,"雲林縣",6807
2011,"雲林縣",6884
2012,"雲林縣",NA
2013,"雲林縣",NA
2014,"雲林縣",NA
2015,"雲林縣",NA
2016,"雲林縣",NA
2017,"雲林縣",NA
1998,"嘉義",7067
1999,"嘉義",6887
2000,"嘉義",8697
2001,"嘉義",7550
2002,"嘉義",7382
2003,"嘉義",7544
2004,"嘉義",7521
2005,"嘉義",7238
2006,"嘉義",7892
2007,"嘉義",6472
2008,"嘉義",5425
2009,"嘉義",5578
2010,"嘉義",5210
2011,"嘉義",4956
2012,"嘉義",NA
2013,"嘉義",NA
2014,"嘉義",NA
2015,"嘉義",NA
2016,"嘉義",NA
2017,"嘉義",NA
1998,"屏東縣",14454
1999,"屏東縣",15815
2000,"屏東縣",19135
2001,"屏東縣",17905
2002,"屏東縣",19305
2003,"屏東縣",15441
2004,"屏東縣",14517
2005,"屏東縣",13918
2006,"屏東縣",13110
2007,"屏東縣",12750
2008,"屏東縣",11953
2009,"屏東縣",10233
2010,"屏東縣",11038
2011,"屏東縣",10213
2012,"屏東縣",NA
2013,"屏東縣",NA
2014,"屏東縣",NA
2015,"屏東縣",NA
2016,"屏東縣",NA
2017,"屏東縣",NA
1998,"臺東縣",3515
1999,"臺東縣",3139
2000,"臺東縣",3222
2001,"臺東縣",3220
2002,"臺東縣",3349
2003,"臺東縣",3352
2004,"臺東縣",3103
2005,"臺東縣",2750
2006,"臺東縣",2702
2007,"臺東縣",2174
2008,"臺東縣",1930
2009,"臺東縣",1955
2010,"臺東縣",1719
2011,"臺東縣",1659
2012,"臺東縣",NA
2013,"臺東縣",NA
2014,"臺東縣",NA
2015,"臺東縣",NA
2016,"臺東縣",NA
2017,"臺東縣",NA
1998,"花蓮縣",5462
1999,"花蓮縣",5327
2000,"花蓮縣",5787
2001,"花蓮縣",5382
2002,"花蓮縣",5484
2003,"花蓮縣",5043
2004,"花蓮縣",5741
2005,"花蓮縣",4800
2006,"花蓮縣",3995
2007,"花蓮縣",3890
2008,"花蓮縣",3555
2009,"花蓮縣",3831
2010,"花蓮縣",3669
2011,"花蓮縣",3587
2012,"花蓮縣",NA
2013,"花蓮縣",NA
2014,"花蓮縣",NA
2015,"花蓮縣",NA
2016,"花蓮縣",NA
2017,"花蓮縣",NA
1998,"澎湖縣",1884
1999,"澎湖縣",1813
2000,"澎湖縣",1937
2001,"澎湖縣",1966
2002,"澎湖縣",1992
2003,"澎湖縣",1578
2004,"澎湖縣",1869
2005,"澎湖縣",1740
2006,"澎湖縣",1659
2007,"澎湖縣",1371
2008,"澎湖縣",1372
2009,"澎湖縣",1375
2010,"澎湖縣",1296
2011,"澎湖縣",1362
2012,"澎湖縣",NA
2013,"澎湖縣",NA
2014,"澎湖縣",NA
2015,"澎湖縣",NA
2016,"澎湖縣",NA
2017,"澎湖縣",NA
1998,"基隆市",3412
1999,"基隆市",3548
2000,"基隆市",4905
2001,"基隆市",5600
2002,"基隆市",5401
2003,"基隆市",5630
2004,"基隆市",4470
2005,"基隆市",4075
2006,"基隆市",3752
2007,"基隆市",3726
2008,"基隆市",3383
2009,"基隆市",3313
2010,"基隆市",3275
2011,"基隆市",3137
2012,"基隆市",NA
2013,"基隆市",NA
2014,"基隆市",NA
2015,"基隆市",NA
2016,"基隆市",NA
2017,"基隆市",NA
1998,"新竹",2105
1999,"新竹",1596
2000,"新竹",2629
2001,"新竹",3771
2002,"新竹",4003
2003,"新竹",3797
2004,"新竹",3575
2005,"新竹",3257
2006,"新竹",3652
2007,"新竹",3270
2008,"新竹",2964
2009,"新竹",3394
2010,"新竹",4149
2011,"新竹",4172
2012,"新竹",NA
2013,"新竹",NA
2014,"新竹",NA
2015,"新竹",NA
2016,"新竹",NA
2017,"新竹",NA
1998,"嘉義",2394
1999,"嘉義",2408
2000,"嘉義",3060
2001,"嘉義",2933
2002,"嘉義",2960
2003,"嘉義",2881
2004,"嘉義",2902
2005,"嘉義",2773
2006,"嘉義",2444
2007,"嘉義",2243
2008,"嘉義",2236
2009,"嘉義",2240
2010,"嘉義",1676
2011,"嘉義",1835
2012,"嘉義",NA
2013,"嘉義",NA
2014,"嘉義",NA
2015,"嘉義",NA
2016,"嘉義",NA
2017,"嘉義",NA
1998,"金門縣",NA
1999,"金門縣",60
2000,"金門縣",84
2001,"金門縣",137
2002,"金門縣",155
2003,"金門縣",163
2004,"金門縣",165
2005,"金門縣",179
2006,"金門縣",167
2007,"金門縣",146
2008,"金門縣",187
2009,"金門縣",259
2010,"金門縣",256
2011,"金門縣",283
2012,"金門縣",NA
2013,"金門縣",NA
2014,"金門縣",NA
2015,"金門縣",NA
2016,"金門縣",NA
2017,"金門縣",NA
1998,"連江縣",NA
1999,"連江縣",20
2000,"連江縣",18
2001,"連江縣",16
2002,"連江縣",16
2003,"連江縣",16
2004,"連江縣",48
2005,"連江縣",28
2006,"連江縣",67
2007,"連江縣",60
2008,"連江縣",54
2009,"連江縣",67
2010,"連江縣",66
2011,"連江縣",63
2012,"連江縣",NA
2013,"連江縣",NA
2014,"連江縣",NA
2015,"連江縣",NA
2016,"連江縣",NA
2017,"連江縣",NA
