"Year","COUNTYNAME","Total_pop"
1998,"新北市",2.8
1999,"新北市",3
2000,"新北市",3
2001,"新北市",4.9
2002,"新北市",5.5
2003,"新北市",5.2
2004,"新北市",4.6
2005,"新北市",4.1
2006,"新北市",3.8
2007,"新北市",3.8
2008,"新北市",4.1
2009,"新北市",5.9
2010,"新北市",5.2
2011,"新北市",4.4
2012,"新北市",4.2
2013,"新北市",4.2
2014,"新北市",3.9
2015,"新北市",3.7
2016,"新北市",3.9
2017,"新北市",3.8
1998,"臺北市",2.6
1999,"臺北市",2.9
2000,"臺北市",2.7
2001,"臺北市",3.9
2002,"臺北市",4.6
2003,"臺北市",4.6
2004,"臺北市",4.2
2005,"臺北市",3.9
2006,"臺北市",3.7
2007,"臺北市",3.7
2008,"臺北市",4
2009,"臺北市",5.8
2010,"臺北市",5.2
2011,"臺北市",4.4
2012,"臺北市",4.3
2013,"臺北市",4.2
2014,"臺北市",4
2015,"臺北市",3.8
2016,"臺北市",3.9
2017,"臺北市",3.8
1998,"桃園市",2.1
1999,"桃園市",2
2000,"桃園市",2
2001,"桃園市",4.3
2002,"桃園市",5.1
2003,"桃園市",4.7
2004,"桃園市",4
2005,"桃園市",4.1
2006,"桃園市",4
2007,"桃園市",4
2008,"桃園市",4.3
2009,"桃園市",6
2010,"桃園市",5.3
2011,"桃園市",4.4
2012,"桃園市",4.3
2013,"桃園市",4.3
2014,"桃園市",4
2015,"桃園市",3.9
2016,"桃園市",4
2017,"桃園市",3.9
1998,"臺中",2.6
1999,"臺中",3.1
2000,"臺中",3.4
2001,"臺中",4.9
2002,"臺中",5.4
2003,"臺中",5.3
2004,"臺中",4.6
2005,"臺中",4.2
2006,"臺中",4.1
2007,"臺中",4
2008,"臺中",4.2
2009,"臺中",5.9
2010,"臺中",5.2
2011,"臺中",4.4
2012,"臺中",4.2
2013,"臺中",4.1
2014,"臺中",3.9
2015,"臺中",3.8
2016,"臺中",3.8
2017,"臺中",3.7
1998,"臺南",3.3
1999,"臺南",3.8
2000,"臺南",3.6
2001,"臺南",4.8
2002,"臺南",5
2003,"臺南",4.9
2004,"臺南",4.4
2005,"臺南",4.1
2006,"臺南",3.8
2007,"臺南",3.9
2008,"臺南",4.1
2009,"臺南",5.8
2010,"臺南",5.1
2011,"臺南",4.3
2012,"臺南",4.2
2013,"臺南",4.2
2014,"臺南",4.1
2015,"臺南",3.8
2016,"臺南",3.9
2017,"臺南",3.8
1998,"高雄",3.2
1999,"高雄",3.8
2000,"高雄",3.9
2001,"高雄",5
2002,"高雄",5.5
2003,"高雄",5.2
2004,"高雄",4.6
2005,"高雄",4.2
2006,"高雄",4.1
2007,"高雄",4.1
2008,"高雄",4.3
2009,"高雄",5.9
2010,"高雄",5.2
2011,"高雄",4.4
2012,"高雄",4.3
2013,"高雄",4.2
2014,"高雄",3.9
2015,"高雄",3.8
2016,"高雄",4
2017,"高雄",3.8
1998,"宜蘭縣",3.4
1999,"宜蘭縣",3.5
2000,"宜蘭縣",3.6
2001,"宜蘭縣",5
2002,"宜蘭縣",5.4
2003,"宜蘭縣",5.2
2004,"宜蘭縣",4.6
